Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
MAMAMUSHI;28 rue du Château d'eau;75010;Équipements informatiques;Livraisons à domicile, Retrait de commandes en magasin;Découvrez la sélection de bijoux, vêtements, homme, femme, enfant, papeterie, bien-être, vintage, accessoires, décoration et d'autres petits trésors...;;https://www.mamamushi.com;01 40 34 36 07;contact@mamamushi.com;"{""type"": ""Point"", ""coordinates"": [2.359882023151147, 48.87040230850147]}";48.8704023085,2.35988202315
Kaydara Paris;30 rue Rousselet;75007;Autre;Livraisons à domicile, Retrait de commandes en magasin;Plaids et écharpes d'exception tissés à la main dans le 7e arr. de Paris. 🇫🇷;;https://www.kaydara.paris;06 26 03 16 21;contact@kaydara.paris;"{""type"": ""Point"", ""coordinates"": [2.318735950423254, 48.84814584355065]}";48.8481458436,2.31873595042
DEGRENNE;177 rue de la convention;75015;Autre;Retrait de commandes en magasin;;;http://www.degrenne.fr;07 60 33 29 76;Boutique.Convention@degrenne.fr;"{""type"": ""Point"", ""coordinates"": [2.29502577864592, 48.83798414077099]}";48.8379841408,2.29502577865
Original Green;27 rue de saint Petersbourg;75008;Restaurant ou traiteur;Livraisons à domicile;"Cuisine végétale de saison, du bio fait maison avec amour et gourmandise !
Nous vous proposons la livraison de repas au domicile ou au bureau.
Prestations sur mesures à la demande (petit déjeuner ...)";;https://www.instagram.com/original.green.paris;06 75 60 08 00;contact@originalgreen.fr;"{""type"": ""Point"", ""coordinates"": [2.325594497974903, 48.88189870234787]}";48.8818987023,2.32559449797
Digital media process;46 rue Notre Dame des Champs;75006;Autre;Retrait de commandes en magasin;Digital media process toujours à vos côtés, en toute sécurité avec le Click and Collect, pour tous vos projets d’impressions, reliures, numérisation, tirages photos, Cadres Nielsen ….;;http://www.digitalmediaprocess.com/;01 45 44 14 40;digitalmedia@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.330132337868554, 48.84423912048468]}";48.8442391205,2.33013233787
Rose Cartel;10 rue de Picardie;75003;Autre;Livraisons à domicile, Retrait de commandes en magasin;;;http://www.rosecartelparis.com;;Rosecartelparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.36244177640529, 48.86345441534556]}";48.8634544153,2.36244177641
a tour de bras;13 rue abel;75012;Autre;Livraisons à domicile, Retrait de commandes en magasin;A tour de bras est un atelier qui propose des cours de modelage via internet, de la vente de terre et des cuissons pendant le confinement, vente en ligne et commande personnalisé de céramique.;;https://www.atourdebras-atelier.com/;09 83 03 12 34;contact@atourdebras-atelier.com;"{""type"": ""Point"", ""coordinates"": [2.375476551284012, 48.84778331675154]}";48.8477833168,2.37547655128
Yummy house;54 rue daguerre;75014;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Restaurant asiatique, spécialisé thailandaise;;;01 43 20 69 03;christophe_tia@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.327391008565034, 48.83484965629305]}";48.8348496563,2.32739100857
Eunoia-Paris;46 bd Raspail;75007;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Eunoia Paris propose des accessoires cheveux cousus dans l'atelier dans le 7ème arrondissement. 
Retrouvez nos chouchous, bandeaux, foulchies et barrettes.";;https://eunoia-paris.com/;06 16 16 46 42;cenreaud.claire@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.32650027337213, 48.85190509644315]}";48.8519050964,2.32650027337
BACH & BACCHUS;37 rue lecourbe;75015;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Cave à vins, spiritueux, bières et épicerie fine;;http://www.bachbacchus.com;01 70 69 99 74;contact@bachbacchus.com;"{""type"": ""Point"", ""coordinates"": [2.307809374275632, 48.844018453312124]}";48.8440184533,2.30780937428
Tippy;207 avenue Daumesnil;75012;Jouets - Jeux;Retrait de commandes en magasin;Concept-store dédié à l’univers de l’enfant : naissance, jeux, jouets, déco, anniversaires...;;;06 17 80 17 91;contact@tippy-shop.fr;"{""type"": ""Point"", ""coordinates"": [2.398295519226373, 48.83881543724416]}";48.8388154372,2.39829551923
Asktothedust;26 rue Muller;75018;Artisanat d'art;Livraisons à domicile;Je crée et réalise des collections de sacs en cuir Couture en pièce unique;;http://Asktothedust.com;07 70 00 50 17;asktothedust@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3457101111195833, 48.88658733970291]}";48.8865873397,2.34571011112
Galerie Paris-Manaus;Village Suisse - 78 avenue de Siffren;75015;Alimentation générale et produits de première nécessité;Livraisons à domicile, Retrait de commandes en magasin;SCULPTURES XIXème - SCULPTURES XXème - BRONZES  -  TABLEAUX  -  ANTIQUITES  -  ART  -  BRONZES ANIMALIERS -;;http://www.galerieparismanaus.com;06 08 51 85 37;contact@galerieparismanaus.com;"{""type"": ""Point"", ""coordinates"": [2.299773206546269, 48.85170887360066]}";48.8517088736,2.29977320655
Atelier Terre Ocre;60 rue des Cévennes;75015;Artisanat d'art;Retrait de commandes en magasin;"Fabrications artisanales de Céramiques utilitaires ou décoratives.
En boutique ou sur commande  des pièces uniques de qualité sont entièrement fait main dans l’atelier.";;http://www.terreocre.com;06 44 69 69 23;contact@terreocre.com;"{""type"": ""Point"", ""coordinates"": [2.281228926683024, 48.84221494707907]}";48.8422149471,2.28122892668
EPIFANI;11rue André Lefevbre;75015;Restaurant ou traiteur;Retrait de commandes en magasin;Tout sur commande, la veil pour lendemain. Appelé le 06 30 76 11 74.;;;06 30 76 11 74;epifani@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.278061696160107, 48.84279141614227]}";48.8427914161,2.27806169616
Restaurant L'insoumise;15 rue Auguste Chabrières;75015;Restaurant ou traiteur;Retrait de commandes en magasin;Le restaurant l’Insoumise vous propose un menu à emporter à retirer sur place. Notre menu est visible sur notre site internet que nous changeons chaque semaine.;;http://restaurant-linsoumise.com/;01 42 71 27 48;linsoumise-resto.resa@outlook.fr;"{""type"": ""Point"", ""coordinates"": [2.289285515018539, 48.83500209388902]}";48.8350020939,2.28928551502
firetown;45 rue de la gaite;75014;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;;;http://www.firetown.fr;01 43 35 02 10;firetown.reservation@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.32292257756946, 48.83875511272782]}";48.8387551127,2.32292257757
La pâte à Nouilles;41 rue de Ponthieu;75008;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Ramen fraîches ! 
Les nouilles sont obtenus en torsadant, en étirant et en pliant la pâte grâce à son propre poids.
vous serez totalement conquis.";;http://lapateanouilles.fr;01 47 20 06 72;lapateanouilles1@outlook.com;"{""type"": ""Point"", ""coordinates"": [2.306997491329609, 48.87145155396966]}";48.871451554,2.30699749133
L’atelier de la viande;77 rue Claude Decaen;75012;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Boucherie halal;;https://Epicery.com;;;"{""type"": ""Point"", ""coordinates"": [2.3970204559149453, 48.83770858350269]}";48.8377085835,2.39702045591
AALAMUNA;89 Boulevard Beaumarchais;75003;Autre;Livraisons à domicile, Retrait de commandes en magasin;Nous proposons une sélection d'objets du monde fabriqués à la main selon des techniques traditionnelles. Petites séries et pièces uniques au design contemporain pour un style authentique et intemporel;;https://www.aalamuna.com;09 86 40 40 50;contact@aalamuna.com;"{""type"": ""Point"", ""coordinates"": [2.367444684900544, 48.859079877290085]}";48.8590798773,2.3674446849
Fromagerie du bas Montmartre;5 rue versigny;75018;Fromagerie;Livraisons à domicile;Service traiteur;;;09 86 77 42 00;;"{""type"": ""Point"", ""coordinates"": [2.344775534413724, 48.894414289199716]}";48.8944142892,2.34477553441
Poissonnerie Joaolena;Place de la Réunion;75020;Poissonnerie;Livraisons à domicile;Service traiteur;;;06 15 11 66 45;;"{""type"": ""Point"", ""coordinates"": [2.401069582827005, 48.85576124691901]}";48.8557612469,2.40106958283
Paradis;11 rue de Thionville;75019;Primeur;Livraisons à domicile;Fruits et légumes;;;06 99 69 19 19;;"{""type"": ""Point"", ""coordinates"": [2.383353873706624, 48.88924461821002]}";48.8892446182,2.38335387371
Grazie;91 BD Beaumarchais;75003;Restaurant ou traiteur;Livraisons à domicile;Pizzeria;;https://Deliveroo.fr;;;"{""type"": ""Point"", ""coordinates"": [2.367384923533868, 48.85927280241799]}";48.8592728024,2.36738492353
Bio concept food;4 RUE LAMARTINE;75009;Restaurant ou traiteur;Livraisons à domicile;Crepes, galettes, jus de fruit. 100% Bio;;;06 64 59 22 16;;"{""type"": ""Point"", ""coordinates"": [2.343935136931288, 48.87659629896475]}";48.876596299,2.34393513693
Mes souvenirs d'Espagne;33 rue du château d'eau;75010;Restaurant ou traiteur;Livraisons à domicile;service traiteur;;;01 40 38 32 34;;"{""type"": ""Point"", ""coordinates"": [2.358266912979418, 48.87102949562085]}";48.8710294956,2.35826691298
Coco;85 Rue de Turbigo;75003;Presse et papeterie;Livraisons à domicile;;;;;;"{""type"": ""Point"", ""coordinates"": [2.361039359155965, 48.866692538084514]}";48.8666925381,2.36103935916
La tête de boeuf;130 rue de Belleville;75020;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Pour les livraisons voir Ollca;;https://www.ollca.com;01 47 97 74 33;;"{""type"": ""Point"", ""coordinates"": [2.388770903460804, 48.874801174585876]}";48.8748011746,2.38877090346
O'Tacos;101 Boulevard Poniatowski;75012;Restaurant ou traiteur;Livraisons à domicile;"French tacos
Livraison via Uber Eats, Deliveroo et Just Eat";;https://www.ubereats.com;01 75 42 93 29;Otacos.doree@resto-tacos.com;"{""type"": ""Point"", ""coordinates"": [2.404591010778371, 48.83456099166628]}";48.8345609917,2.40459101078
O'Tacos;116 bis cours de Vincennes;75012;Restaurant ou traiteur;Livraisons à domicile;"French tacos
Livraison via Uber Eats, Deliveroo et Just Eat";;https://www.ubereats.com;01 73 70 97 03;Otacos.ptevincennes@resto-tacos.com;"{""type"": ""Point"", ""coordinates"": [2.410352761184543, 48.84672446396112]}";48.846724464,2.41035276118
Maison Honoré;237 rue de Charenton;75012;Boulangerie - pâtisserie;Livraisons à domicile;Patissier Chocolatier;;;01 43 43 20 59;;"{""type"": ""Point"", ""coordinates"": [2.391121492058064, 48.83751571652544]}";48.8375157165,2.39112149206
Sushi Est;21 rue de Fecamp;75012;Restaurant ou traiteur;Livraisons à domicile;1 plateau acheté = 1 plateau offert;;;;;"{""type"": ""Point"", ""coordinates"": [2.398837243277236, 48.83533107446598]}";48.8353310745,2.39883724328
Chez l'auvergnat;60 rue oberkampf;75011;Fromagerie;Livraisons à domicile;;;;01 48 05 31 83;huet33@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.373979374276347, 48.86485763737419]}";48.8648576374,2.37397937428
Primeur de Gama;74 rue Raymond Losserand;75014;Primeur;Livraisons à domicile;;;;01 40 44 67 07;;"{""type"": ""Point"", ""coordinates"": [2.317733051535822, 48.833801266290564]}";48.8338012663,2.31773305154
la fromagerie de grenelle;204 rue de grenelle;75007;Fromagerie;Livraisons à domicile;Et petite épicerie;;https://www.fromageriedegrenelle.ollca.com;01 45 51 57 59;fromageriedegrenelle@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.303862052738659, 48.85700080946088]}";48.8570008095,2.30386205274
Qu jing;14 Rue Pierre Leroux;75007;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;06 19 24 07 08;;"{""type"": ""Point"", ""coordinates"": [2.318969109723672, 48.849332265787275]}";48.8493322658,2.31896910972
Fleuryan;17 avenue de la république;75011;Primeur;Livraisons à domicile;;;;06 51 57 99 10;she091184@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.370267101911184, 48.86622644155631]}";48.8662264416,2.37026710191
Aprium Pharmacie Montparnasse;1 RUE D'ODESSA - 3 RUE DU DEPART;75014;Pharmacies et parapharmacies;Livraisons à domicile;;;https://montparnasse.aprium-pharmacie.fr/aprium-express;01 43 20 70 22;;"{""type"": ""Point"", ""coordinates"": [2.324458156862214, 48.843250398260814]}";48.8432503983,2.32445815686
Caves de Courcelles;206 bis Rue de Courcelles;75017;Caviste - Brasserie;Livraisons à domicile;"Cave ""traditionnelle"" depuis 1934";;;01 47 64 97 79;paris-caves-de-courcelles@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.295819145442841, 48.88676474531909]}";48.8867647453,2.29581914544
Ono Paris;53  rue de Charenton;75012;Primeur;Livraisons à domicile;Vos fruits et légumes BIO chez vous en 25 minutes du lundi au samedi;;https://www.ubereats.com/fr/paris/food-delivery/ono/CeRN9FpzT9qQpUu5Tj9aqA;;;"{""type"": ""Point"", ""coordinates"": [2.372899880948883, 48.85089666551266]}";48.8508966655,2.37289988095
Eric Kayser;33 rue Danielle Casanova;75001;Boulangerie - pâtisserie;Livraisons à domicile;;;https://www.maison-kayser.com/fr/boulangeries/100001010-vendome.html;01 42 97 59 29;;"{""type"": ""Point"", ""coordinates"": [2.330742219558243, 48.86812015809173]}";48.8681201581,2.33074221956
Les enfants du marché;39 Rue de Bretagne;75003;Restaurant ou traiteur;Livraisons à domicile;Caviste aussi;;;06 69 99 21 21;Contact@lesenfantsdumarche.fr;"{""type"": ""Point"", ""coordinates"": [2.362172805926787, 48.86295444112033]}";48.8629544411,2.36217280593
lidl;21 rue myrha;75018;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;06 52 09 69 01;nadjetchakira@aol.fr;"{""type"": ""Point"", ""coordinates"": [2.354452078763443, 48.887138991389925]}";48.8871389914,2.35445207876
C'BIO;BD BLANQUI;75013;Primeur;Livraisons à domicile;Fruits et légumes issus de l'agriculture biologique;;;;c.bio@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.347227535530036, 48.83028733546414]}";48.8302873355,2.34722753553
Au bon pêcheur;170 Avenue Ledru-Rollin;75011;Poissonnerie;Livraisons à domicile;;;;06 88 12 20 56;Tarek976@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.379646516687209, 48.85700097141698]}";48.8570009714,2.37964651669
Odette rue Montorgueil;18 rue Montorgueil;75001;Boulangerie - pâtisserie;Livraisons à domicile;Pâtisseries;;https://www.epicery.com/epiceries/odette-montogueil;+33 6 28 63 67 95;fberthy@odette-paris.com;"{""type"": ""Point"", ""coordinates"": [2.3464277535559352, 48.863405902576545]}";48.8634059026,2.34642775356
Halles Saint-Antoine;23 rue Saint-Antoine;75004;Primeur;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/halles-saint-antoine;+33 6 51 60 06 25;walid281079@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.365459378685771, 48.85360735775168]}";48.8536073578,2.36545937869
Le Court Circuit;44 rue Quincampoix;75004;Épicerie fine;Livraisons à domicile;Epicerie;;https://www.epicery.com/epiceries/le-court-circuit;+33 6 89 64 24 57;escaranello@lefrom.fr;"{""type"": ""Point"", ""coordinates"": [2.350524957525603, 48.86095135977264]}";48.8609513598,2.35052495753
Karamel;67 Rue Saint-Dominique;75007;Boulangerie - pâtisserie;Livraisons à domicile;Chocolat;;https://www.epicery.com/epiceries/karamel;01 71 93 02 94;eh@karamelparis.com;"{""type"": ""Point"", ""coordinates"": [2.310703820492185, 48.85988068723148]}";48.8598806872,2.31070382049
Mon Petit Poulet rue Cler;31 rue Cler;75007;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Poulet rôti, Viande;;https://www.epicery.com/epiceries/mon-petit-poulet-cler;+33 6 61 09 07 55;yannlotte@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.306239371246946, 48.857321443537096]}";48.8573214435,2.30623937125
Boucherie Aux Cloches Vertes Bio;76 rue de Maubeuge;75009;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Bio, Charcuterie;;https://www.epicery.com/epiceries/aux-cloches-vertes;+33 6 76 40 11 86;hamidmess@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.347876450394535, 48.87910583988787]}";48.8791058399,2.34787645039
Faubourg Marée;209 Rue du Faubourg Saint-Martin;75010;Poissonnerie;Livraisons à domicile;Plateaux de fruits de mer , Poisson;;https://www.epicery.com/epiceries/homard-parisien-75010;+33 6 63 84 43 56;mjk75018@gmail.com,itac13@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.364148542714724, 48.88044989790814]}";48.8804498979,2.36414854271
Schmid Traiteur;76 boulevard de Strasbourg;75010;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/schmid-traiteur;+33 6 03 47 73 36,+33 6 14 83 51 45;schmid2@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.358333906794185, 48.87577876934757]}";48.8757787693,2.35833390679
